sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,compas_score,did_recid
Male,69,Other,0,0,0,0,(F3),0,0
Male,69,Other,0,0,0,0,(F3),0,0
Male,34,African-American,0,0,0,0,(F3),0,1
Male,24,African-American,0,0,1,4,(F3),0,1
Male,24,African-American,0,0,1,4,(F3),0,1
Male,24,African-American,0,0,1,4,(F3),0,1
Male,24,African-American,0,0,1,4,(F3),0,1
Male,24,African-American,0,0,1,4,(F3),0,1
Male,44,Other,0,0,0,0,(M1),0,0
Male,41,Caucasian,0,0,0,14,(F3),1,1
Male,41,Caucasian,0,0,0,14,(F3),1,1
Male,43,Other,0,0,0,3,(F3),0,0
Male,43,Other,0,0,0,3,(F3),0,0
Male,43,Other,0,0,0,3,(F3),0,0
Female,39,Caucasian,0,0,0,0,(M1),0,0
Male,20,Caucasian,0,0,1,0,(F3),1,0
Male,20,Caucasian,0,0,1,0,(F3),1,0
Male,20,Caucasian,0,0,1,0,(F3),1,0
Female,26,Caucasian,0,0,0,0,(F3),1,0
Female,26,Caucasian,0,0,0,0,(F3),1,0
Female,26,Caucasian,0,0,0,0,(F3),1,0
Male,27,Caucasian,0,0,0,0,(F3),0,0
Male,23,African-American,0,0,0,3,(M1),1,1
Female,37,Caucasian,0,0,0,0,(M1),0,0
Male,22,Caucasian,0,0,0,0,(M1),0,0
Male,41,African-American,0,0,0,0,(F3),0,0
Female,47,Caucasian,0,0,0,1,(F3),0,1
Female,47,Caucasian,0,0,0,1,(F3),0,1
Male,31,African-American,0,0,0,7,(F3),0,1
Male,31,African-American,0,0,0,7,(F3),0,1
Male,37,Hispanic,0,0,0,0,(M1),0,0
Male,25,African-American,0,0,0,3,(F3),1,0
Male,25,African-American,0,0,0,3,(F3),1,0
Male,31,Caucasian,0,0,0,6,(F3),1,1
Male,31,Caucasian,0,0,0,5,(F3),0,1
Male,31,Caucasian,0,0,0,5,(F3),0,1
Male,31,Caucasian,0,0,0,5,(F3),0,1
Male,64,African-American,0,0,0,13,(F3),1,1
Male,64,African-American,0,0,0,13,(F3),1,1
Male,64,African-American,0,0,0,13,(F3),1,1
Male,21,African-American,0,0,0,1,(F3),1,1
Male,21,African-American,0,0,0,1,(F3),1,1
Male,21,African-American,0,0,0,1,(F3),1,1
Male,21,African-American,0,0,0,1,(F3),1,1
Male,21,African-American,0,0,0,1,(F3),1,1
Male,21,African-American,0,0,0,1,(F3),1,1
Male,27,Caucasian,0,0,0,0,(M1),0,1
Female,21,Caucasian,0,0,0,0,(F3),0,0
Male,24,Hispanic,0,0,0,1,(F3),0,1
Male,43,Caucasian,0,0,0,1,(M2),0,0
Male,32,Other,0,0,0,0,(M1),0,0
Female,54,African-American,0,0,0,0,(F3),1,0
Male,44,African-American,0,0,0,8,(M2),1,0
Male,27,African-American,0,0,0,8,(F3),0,1
Male,27,African-American,0,0,0,8,(F3),0,1
Male,27,African-American,0,0,0,8,(F3),0,1
Male,27,African-American,0,0,0,8,(F3),0,1
Male,26,African-American,0,0,1,5,(F3),1,1
Male,26,African-American,0,0,1,5,(F3),1,1
